# Swiss Law Collection — all cantonal acts: instrument type × canton × enactment year × legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
instrument_type,canton,year,domain,count
anderes,VD,1938,sante,2
anderes,VS,1938,infra,1
anderes,UR,1939,autres,1
anderes,UR,1939,infra,1
anderes,VD,1939,fin,2
anderes,BE,1940,sante,1
anderes,BS,1941,etat,1
anderes,GL,1941,infra,1
anderes,NE,1941,etat,1
anderes,SO,1941,etat,3
anderes,SO,1941,infra,1
anderes,VD,1941,sante,1
anderes,SO,1942,etat,1
anderes,VD,1942,eco,1
anderes,BS,1943,eco,1
anderes,BS,1943,educ,1
anderes,BS,1943,sante,2
anderes,FR,1943,etat,1
anderes,SO,1943,eco,1
anderes,SO,1943,etat,1
anderes,ZH,1943,etat,1
anderes,BE,1944,etat,1
anderes,SO,1944,autres,1
anderes,VD,1944,eco,1
anderes,VS,1944,infra,1
anderes,GL,1945,fin,1
anderes,LU,1945,etat,1
anderes,NE,1945,autres,2
anderes,FR,1946,sante,1
anderes,GL,1946,fin,1
anderes,GL,1946,infra,1
anderes,LU,1946,etat,1
anderes,NE,1946,sante,2
anderes,SO,1946,autres,1
anderes,SO,1946,etat,1
anderes,SZ,1946,infra,1
anderes,VD,1946,educ,1
anderes,ZG,1946,etat,1
anderes,BL,1947,eco,1
anderes,BS,1947,etat,1
anderes,BS,1947,infra,1
anderes,GL,1947,infra,1
anderes,GR,1947,educ,1
anderes,NE,1947,sante,1
anderes,SH,1947,infra,1
anderes,SO,1947,etat,1
anderes,SO,1947,infra,1
anderes,VD,1947,fin,1
anderes,ZG,1947,fin,1
anderes,NE,1948,infra,1
anderes,SH,1948,sante,1
anderes,VD,1948,infra,1
anderes,VD,1948,sante,1
anderes,ZH,1948,infra,1
anderes,BS,1949,fin,1
anderes,GL,1949,etat,1
anderes,NE,1949,sante,1
anderes,SH,1949,infra,1
anderes,SO,1949,fin,1
anderes,VD,1949,autres,1
anderes,ZG,1949,fin,1
anderes,BE,1950,sante,1
anderes,BS,1950,etat,1
anderes,BS,1950,infra,1
anderes,FR,1950,etat,1
anderes,VD,1950,eco,1
anderes,VD,1950,fin,1
anderes,VS,1950,eco,1
anderes,AR,1951,infra,1
anderes,BE,1951,autres,1
anderes,BS,1951,educ,1
anderes,NE,1951,educ,1
anderes,NE,1951,etat,2
anderes,NE,1951,sante,1
anderes,NW,1951,educ,1
anderes,OW,1951,etat,1
anderes,SO,1951,etat,1
