# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
AG,1944,0,1,0,0,0,0,1,2
BS,1944,0,0,0,1,0,0,0,1
FR,1944,0,0,0,0,0,0,1,1
SH,1944,0,0,0,0,0,0,1,1
SZ,1944,0,0,0,0,1,0,0,1
BE,1945,1,0,0,0,0,0,0,1
BL,1945,0,0,0,0,0,1,0,1
BS,1945,0,1,0,0,0,0,0,1
NW,1945,0,0,0,0,1,0,0,1
SG,1945,0,1,0,0,0,0,0,1
SO,1945,0,0,0,1,0,0,0,1
TI,1945,0,0,0,0,0,0,1,1
AG,1946,0,1,0,0,0,0,1,2
GR,1946,0,0,1,0,0,0,0,1
LU,1946,0,0,0,0,1,0,0,1
NE,1946,1,0,0,0,0,0,0,1
TG,1946,0,0,1,0,0,0,0,1
ZH,1946,0,0,0,1,0,0,0,1
JU,1947,0,0,0,0,0,0,1,1
SO,1947,0,1,0,0,0,0,0,1
AR,1948,1,0,0,0,0,0,0,1
BE,1948,0,1,0,0,0,0,0,1
BL,1948,1,0,0,0,0,0,0,1
GL,1948,0,1,0,0,0,0,0,1
OW,1948,0,0,0,0,1,0,0,1
SG,1948,1,0,0,0,0,0,0,1
SO,1948,0,0,0,0,0,1,0,1
TG,1948,0,1,1,0,0,0,0,2
TI,1948,0,0,0,1,0,0,0,1
AI,1949,0,0,0,0,0,1,0,1
GL,1949,0,0,0,0,0,0,1,1
SH,1949,1,0,0,0,0,0,0,1
ZH,1949,1,0,0,0,0,0,0,1
AG,1950,0,1,0,0,0,0,0,1
BL,1950,1,0,0,0,0,0,0,1
BS,1950,1,0,0,0,0,0,0,1
GL,1950,0,0,0,1,0,0,0,1
GR,1950,0,1,0,0,0,0,0,1
SZ,1950,0,0,0,1,0,0,0,1
AG,1951,0,0,0,1,0,1,0,2
AR,1951,0,0,0,1,0,1,0,2
BE,1951,1,0,0,0,0,0,0,1
BL,1951,2,1,0,1,0,0,0,4
BS,1951,0,0,0,1,0,0,0,1
JU,1951,0,1,0,0,0,0,0,1
NE,1951,0,0,0,1,0,0,0,1
OW,1951,0,0,1,1,0,0,0,2
SG,1951,1,0,0,1,0,0,1,3
SH,1951,0,1,0,0,0,0,0,1
SO,1951,1,0,0,1,0,0,0,2
SZ,1951,0,0,0,1,0,0,0,1
TI,1951,1,0,0,0,0,0,0,1
UR,1951,0,0,0,1,0,0,0,1
VS,1951,0,0,0,1,0,0,0,1
ZG,1951,0,0,0,1,0,0,1,2
ZH,1951,0,0,0,1,0,0,0,1
AG,1952,0,1,0,0,0,0,0,1
AR,1952,0,0,0,1,0,0,0,1
BL,1952,1,0,0,0,0,0,0,1
BS,1952,0,1,0,0,0,0,0,1
OW,1952,1,0,0,0,0,0,0,1
SG,1952,0,3,0,1,0,0,1,5
TI,1952,0,0,0,0,0,0,1,1
ZH,1952,0,0,0,0,0,1,0,1
AG,1953,0,1,0,0,0,0,0,1
LU,1953,0,2,0,1,0,0,1,4
SO,1953,0,0,0,0,0,0,1,1
ZG,1953,0,1,0,0,0,0,0,1
ZH,1953,0,0,0,1,0,0,0,1
AG,1954,0,0,0,1,0,0,0,1
BE,1954,0,0,4,0,0,0,0,4
LU,1954,1,0,0,0,0,0,0,1
NE,1954,0,0,0,1,0,0,0,1
SO,1954,1,1,0,1,0,0,0,3
TI,1954,0,0,0,0,0,0,1,1
ZH,1954,0,0,0,2,0,0,0,2
