# Swiss Law Collection — cantonal acts of type 'Parliamentary ordinance (decree)' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1988,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,1989,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux de district / d'arrondissement, juges de paix",1
AG,1989,Etat.Autorités.Organisation judiciaire.Rémunération et indemnités des juges,1
AG,1989,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
AG,1989,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1989,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,1990,Etat.Autorités.Gouvernement et administration.Gouvernement.Indemnités,1
AG,1990,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",1
AG,1990,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AG,1990,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Droits des patients",1
AG,1991,Etat,1
AG,1991,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,1991,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AG,1993,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AG,1994,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
AG,1994,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Allocations familiales.Salariés et indépendants",1
AG,1994,Publications sans texte,1
AG,1995,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AG,1995,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1996,"Finances, Impôts, monopoles, entreprises d'état",1
AG,1996,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
AG,1996,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AG,1996,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Réduction des primes",1
AG,1996,Publications sans texte,1
AG,1997,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Surveillance scolaire",1
AG,1997,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
AG,1998,"Finances, Impôts, monopoles, entreprises d'état",1
AG,1998,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,1998,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
AG,1998,Publications sans texte,2
