# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1977,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1978,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AG,1978,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,1978,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Sages-femmes",1
AG,1979,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Pharmacies et drogueries",1
AG,1980,Droit pénal.Droit pénal militaire,1
AG,1980,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Epidémies, pandémies",1
AG,1981,Etat,1
AG,1981,"Etat.Communes.Bourgeoisies, allmends",1
AG,1981,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1981,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
AG,1981,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Chasse.Chasseurs",1
AG,1981,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1981,Economie.Commerce.Surveillance des prix,1
AG,1982,Etat.Autorités.Gouvernement et administration.Organisation.Délégation,1
AG,1982,Etat.Professions juridiques.Notaires.Formation,1
AG,1982,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des animaux",1
AG,1983,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,1983,"Défense nationale, protection de la population, police",1
AG,1983,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection du paysage",1
AG,1983,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LPP",1
AG,1983,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
AG,1984,Etat,1
AG,1984,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
AG,1984,Etat.Autorités.Gouvernement et administration.Procédure administrative,2
AG,1984,Etat.Communes.Finances communales,1
AG,1984,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",1
AG,1984,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1984,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Impôts et taxes de la circulation",1
