# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
UR,1962,1,0,0,1,0,0,0,2
VS,1962,0,0,1,0,0,0,0,1
GR,1963,1,0,0,0,0,0,0,1
NE,1963,0,0,2,0,0,0,0,2
SO,1963,0,0,0,0,0,0,1,1
TI,1963,0,0,0,0,0,0,1,1
VD,1963,0,0,0,0,1,0,0,1
VS,1963,1,0,1,0,0,0,0,2
FR,1964,0,1,0,0,0,0,0,1
GE,1964,0,0,1,2,1,0,2,6
GL,1964,0,1,0,0,0,0,0,1
NE,1964,1,0,0,0,0,0,0,1
VD,1964,0,1,0,0,0,0,0,1
ZH,1964,1,0,0,0,0,0,0,1
FR,1965,1,1,0,0,0,0,0,2
GE,1965,0,2,0,0,1,0,0,3
GR,1965,0,0,0,0,0,1,0,1
VD,1965,0,1,0,0,1,0,0,2
VS,1965,0,0,1,1,0,0,0,2
BE,1966,0,0,0,0,1,0,0,1
FR,1966,1,0,0,0,0,0,0,1
GE,1966,2,0,0,1,0,0,0,3
NE,1966,0,0,1,0,0,0,0,1
VD,1966,1,0,0,0,0,0,0,1
BS,1967,0,0,1,0,0,0,0,1
FR,1967,3,0,0,0,0,0,0,3
GE,1967,0,0,1,0,0,0,0,1
SG,1967,0,1,0,0,0,0,0,1
TI,1967,0,0,0,1,0,0,0,1
UR,1967,0,0,0,0,0,1,0,1
VS,1967,1,2,0,0,0,0,0,3
BS,1968,0,1,0,0,0,0,0,1
GE,1968,0,0,0,1,0,1,0,2
GL,1968,0,0,0,0,0,0,1,1
LU,1968,0,0,0,0,0,0,1,1
NE,1968,0,0,1,0,0,0,0,1
ZH,1968,0,0,1,0,0,0,0,1
BS,1969,1,0,0,0,0,0,0,1
GE,1969,0,0,1,1,3,0,0,5
LU,1969,0,3,0,0,0,0,0,3
NE,1969,0,0,1,0,0,0,0,1
TG,1969,1,0,0,0,0,0,0,1
TI,1969,0,0,0,1,1,0,0,2
VS,1969,0,0,0,0,0,1,0,1
ZH,1969,0,0,1,0,0,0,0,1
AG,1970,0,1,0,0,0,0,0,1
BS,1970,0,0,1,0,0,0,0,1
GE,1970,1,1,0,1,3,0,0,6
GL,1970,0,1,0,0,0,0,0,1
NE,1970,0,0,0,0,1,0,0,1
SG,1970,1,0,0,0,0,0,0,1
SO,1970,1,0,0,0,0,0,0,1
TI,1970,0,1,0,0,0,0,0,1
VD,1970,1,0,0,1,2,0,1,5
BS,1971,0,0,1,0,0,0,0,1
GE,1971,0,1,2,0,0,0,0,3
SO,1971,0,0,1,0,0,0,1,2
TI,1971,0,0,0,1,0,0,0,1
UR,1971,0,1,0,0,0,0,0,1
VD,1971,0,2,1,0,1,0,0,4
BE,1972,0,0,0,1,0,0,0,1
BS,1972,0,1,0,0,0,0,0,1
GL,1972,0,0,1,0,0,0,0,1
TI,1972,0,0,0,0,1,1,0,2
VS,1972,0,0,1,0,0,0,0,1
BS,1973,1,0,0,0,0,0,0,1
FR,1973,0,0,1,0,0,0,0,1
GE,1973,0,0,0,5,1,1,0,7
GL,1973,0,0,1,0,0,0,0,1
NE,1973,0,1,2,0,0,0,0,3
SG,1973,0,0,1,0,0,0,0,1
SO,1973,0,0,1,0,0,0,0,1
UR,1973,0,1,0,0,0,0,1,2
VS,1973,0,0,1,0,1,0,0,2
FR,1974,0,0,1,0,0,0,0,1
GE,1974,3,0,1,0,1,0,0,5
GR,1974,0,0,2,0,0,0,0,2
LU,1974,0,0,0,2,0,0,0,2
SG,1974,0,0,1,0,0,0,0,1
SO,1974,0,0,1,0,0,0,0,1
SZ,1974,0,1,0,0,0,0,0,1
TI,1974,0,0,1,2,0,0,1,4
VD,1974,0,1,0,1,0,0,0,2
ZH,1974,1,0,0,0,0,0,0,1
BS,1975,1,0,0,0,0,0,0,1
GE,1975,2,0,0,1,1,0,1,5
GR,1975,0,0,0,1,0,0,0,1
LU,1975,0,1,0,0,0,0,0,1
NW,1975,1,0,0,0,0,0,0,1
TG,1975,0,0,0,0,1,0,0,1
TI,1975,1,1,0,1,0,1,0,4
VD,1975,1,1,1,1,0,0,0,4
VS,1975,0,0,2,1,0,0,1,4
ZH,1975,0,0,1,0,0,0,0,1
BL,1976,0,0,0,0,1,0,0,1
BS,1976,0,0,0,0,0,1,0,1
FR,1976,0,0,0,0,1,0,0,1
GE,1976,3,1,0,2,0,0,0,6
GL,1976,0,0,0,0,0,0,1,1
NE,1976,0,0,1,0,0,0,0,1
SG,1976,0,0,2,0,0,0,0,2
SZ,1976,0,0,1,0,0,0,0,1
TG,1976,0,0,0,0,1,0,0,1
TI,1976,1,0,0,0,0,0,0,1
VD,1976,0,0,0,2,0,0,0,2
VS,1976,0,1,0,0,0,1,0,2
FR,1977,1,0,0,0,0,0,0,1
GE,1977,1,1,1,1,0,0,1,5
NE,1977,0,0,0,0,0,0,1,1
SG,1977,0,1,1,0,0,0,0,2
TG,1977,0,0,0,0,2,0,0,2
VD,1977,0,0,2,1,0,0,2,5
VS,1977,0,0,1,0,0,0,0,1
ZG,1977,1,0,0,0,0,0,0,1
BL,1978,0,1,1,0,0,0,0,2
BS,1978,1,0,0,0,0,0,0,1
FR,1978,1,0,1,0,0,0,0,2
