# Swiss Law Collection — cantonal acts of type 'Other' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AR,1925,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Sécurité",1
AR,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Forces hydrauliques",1
AR,1952,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Forces hydrauliques",1
AR,1969,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Forces hydrauliques",1
AR,1976,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Funiculaires, téléphériques, téléskis",1
AR,1979,Etat,1
AR,1984,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AR,1984,"Santé, travail, droit des assurances sociales, logement, homes",1
AR,1986,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Employés de maison,1
AR,1990,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AR,1992,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AR,1993,"Enseignement, sciences, documentation et culture",1
AR,1993,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AR,1995,Etat.Autorités.Gouvernement et administration.Emoluments administratifs,1
AR,1995,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Ramoneurs",1
AR,1996,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Denrées alimentaires, objets d'usage courant.Surveillance des aliments",1
AR,1997,"Défense nationale, protection de la population, police.Défense.Places d'armes, arsenaux",1
AR,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AR,1998,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AR,2001,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AR,2003,"Economie.Commerce.Marché intérieur, entraves techniques au commerce",1
AR,2004,"Santé, travail, droit des assurances sociales, logement, homes",1
AR,2005,Droit pénal.Amendes d'ordre,1
AR,2005,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AR,2005,"Santé, travail, droit des assurances sociales, logement, homes",1
AR,2008,Economie.Commerce.Poids et mesures. moyens de paiement,1
AR,2009,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
AR,2009,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre le feu, pompiers",1
AR,2010,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
AR,2011,"Santé, travail, droit des assurances sociales, logement, homes",1
AR,2012,Etat,1
AR,2012,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",2
AR,2015,Etat.Autorités.Gouvernement et administration.Gouvernement.Indemnités,1
AR,2019,Etat.Autorités.Parlement.Indemnisation des parlementaires,1
AR,2019,"Enseignement, sciences, documentation et culture",1
AR,2023,"Enseignement, sciences, documentation et culture",1
AR,2024,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",2
BE,1911,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection de la nature",3
BE,1923,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,1924,Etat.Communes.Finances communales,1
BE,1931,Etat.Dispositions générales.Armoiries,1
BE,1936,Etat.Eglise et Etat.Eglise catholique romaine,1
BE,1940,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,1944,Etat.Dispositions générales.Armoiries,1
BE,1950,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Caisses de compensation",1
BE,1951,Droit civil.Propriété intellectuelle,1
BE,1956,Etat,1
BE,1964,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
BE,1971,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Agriculture,1
BE,1971,"Finances, Impôts, monopoles, entreprises d'état",1
BE,1971,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
BE,1971,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,1973,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,1984,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,1985,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BE,1986,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",1
BE,1987,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Employés de maison,1
BE,1996,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
BE,1997,"Enseignement, sciences, documentation et culture",1
BE,1998,"Enseignement, sciences, documentation et culture",1
BE,2000,"Enseignement, sciences, documentation et culture",1
BE,2001,"Enseignement, sciences, documentation et culture",1
BE,2003,"Enseignement, sciences, documentation et culture",1
BE,2004,"Enseignement, sciences, documentation et culture",1
BE,2004,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,2005,"Enseignement, sciences, documentation et culture",2
BE,2005,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
BE,2005,Publications sans texte,3
BE,2006,"Enseignement, sciences, documentation et culture",1
BE,2006,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,2006,Publications sans texte,2
BE,2007,"Enseignement, sciences, documentation et culture",1
BE,2009,Publications sans texte,1
BE,2010,Publications sans texte,1
BE,2011,Publications sans texte,2
BE,2012,Publications sans texte,1
BE,2013,Publications sans texte,1
BE,2015,"Enseignement, sciences, documentation et culture",3
BE,2015,"Finances, Impôts, monopoles, entreprises d'état",2
BE,2019,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,2021,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,unknown,Publications sans texte,23
BL,1829,Etat.Eglise et Etat.Eglise catholique romaine,1
BL,1836,Etat.Dispositions générales.Armoiries,1
BL,1870,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BL,1881,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",1
BL,1920,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
BL,1947,Economie,1
BL,1952,Etat.Eglise et Etat.Eglise évangélique réformée,1
BL,1954,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,1962,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
BL,1963,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
BL,1963,Economie.Agriculture.Améliorations foncières,1
BL,1967,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Protection de la jeunesse, aide à la jeunesse",1
BL,1974,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Tuberculose",1
BL,1975,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
BL,1976,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
BL,1976,Etat.Eglise et Etat.Eglise catholique romaine,1
BL,1976,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Cliniques psychiatriques",1
BL,1977,Etat,1
BL,1978,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Dentistes",1
BL,1979,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,1979,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Urgences, ambulances",1
BL,1980,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Formation, formation continue, perfectionnement",1
BL,1980,"Finances, Impôts, monopoles, entreprises d'état",1
BL,1981,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,1981,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Listes des hôpitaux",1
BL,1982,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",2
BL,1983,Etat.Eglise et Etat.Eglise catholique chrétienne,1
BL,1983,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,1984,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,2
BL,1986,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Agriculture,1
BL,1987,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation continue des enseignants",1
BL,1988,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
BL,1988,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pétrole",1
BL,1988,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BL,1989,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,1989,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,1990,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,1990,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",2
BL,1991,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Médecine scolaire, services psychologiques scolaires",1
BL,1991,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Dentistes",1
BL,1992,"Santé, travail, droit des assurances sociales, logement, homes",2
BL,1992,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,1993,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.égalité entre hommes et femmes",1
BL,1994,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,1994,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
BL,1994,"Enseignement, sciences, documentation et culture.Sciences, recherche",1
BL,1994,"Finances, Impôts, monopoles, entreprises d'état",1
BL,1994,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,1995,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
