# Swiss Law Collection — laws without a plausible enactment date (correction template)
# fill corrected_enactment_date (YYYY-MM-DD) and correction_note (source/citation), then run: legalize-ch import-dates undated_laws.csv — corrections are applied to the law files as enactment_date_source: manual_import and improve the statistics on the next regeneration
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
entity,id,title,category_type,languages,raw_dates,enactment_date_source,reason,link,corrected_enactment_date,correction_note
FR,"114.23.4","Übernahme bestimmter Kosten für die Schulung der","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/114.23.4.md,,
FR,"114.23.8","Krankenversicherung für Asylbewerber","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/114.23.8.md,,
FR,"122.0.62","Entschädigungen der Mitglieder der Kommissionen der","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/122.0.62.md,,
FR,"122.3.2","Gehälter und berufliche Vorsorge der Oberamtmänner","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/122.3.2.md,,
FR,"122.70.9","Besondere Bestimmungen für das Personal gewisser Dienstzweige und","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/122.70.9.md,,
FR,"122.8.43","Organisation und Arbeitsweise der Kommissionen des Staates","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/122.8.43.md,,
FR,"123.1","Behörden der Zivil- und Strafgerichtsbarkeit","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/123.1.md,,
FR,"123.2","Behörden der Verwaltungsgerichtsbarkeit","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/123.2.md,,
FR,"126.9","Gebühren, die in besonderen Gesetzen oder Beschlüssen vorgesehen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/126.9.md,,
FR,"130.68","Unentgeltliche Rechtspflege im Bereich der fürsorgerischen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/130.68.md,,
