# Swiss Law Collection — cantonal acts of type 'Act' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,1998,"Finances, Impôts, monopoles, entreprises d'état",1
AG,1999,Publications sans texte,1
AG,2000,Etat,1
AG,2000,Economie.Arts et métiers.Services.Jeux de hasard et loteries.Maisons de jeu,1
AG,2001,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
AG,2002,Etat.Communes.Répartition des tâches entre canton et communes,1
AG,2002,"Enseignement, sciences, documentation et culture",1
AG,2003,Etat.Communes.Répartition des tâches entre canton et communes,1
AG,2003,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2004,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2004,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Assurance-chômage",1
AG,2005,Etat,1
AG,2005,Etat.Autorités.Gouvernement et administration.New Public Management,1
AG,2005,Etat.Communes.Répartition des tâches entre canton et communes,1
AG,2005,"Défense nationale, protection de la population, police",1
AG,2005,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2005,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contrôle des finances",1
AG,2005,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2006,Etat.Dispositions générales.Information du public,1
AG,2006,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
AG,2006,"Défense nationale, protection de la population, police",1
AG,2007,Etat.Autorités.Gouvernement et administration.Procédure administrative,1
AG,2007,"Enseignement, sciences, documentation et culture.Sciences, recherche",1
AG,2007,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,2007,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Prestations complémentaires",1
AG,2007,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Homes.Etablissements pour personnes âgées",1
AG,2008,Etat.Dispositions générales.Etablissement et séjour.Etablissement et séjour Suisses.contrôle des habitants,1
