# Swiss Law Collection — cantonal acts of type 'Intercantonal agreement' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
TG,1926,2,0,0,0,0,1,0,3
ZH,1926,1,0,0,0,0,4,1,6
SZ,1927,0,0,0,1,0,0,0,1
AG,1928,0,0,0,0,0,1,0,1
FR,1928,0,0,0,0,0,1,0,1
SH,1928,0,0,0,0,0,1,0,1
ZH,1928,0,0,0,0,0,1,0,1
SZ,1929,0,0,0,2,0,0,0,2
ZH,1929,0,0,1,1,0,1,0,3
AG,1930,0,0,0,0,0,1,0,1
SO,1930,0,0,0,0,0,1,0,1
SZ,1930,0,0,0,1,0,0,0,1
FR,1931,0,0,0,0,0,1,0,1
GL,1931,0,0,0,0,0,1,0,1
SO,1931,1,0,0,0,0,1,0,2
TG,1931,0,0,0,0,0,1,0,1
ZH,1931,0,0,0,1,0,2,0,3
AG,1932,0,0,0,0,0,1,0,1
SZ,1933,0,0,0,1,0,0,0,1
TG,1933,0,0,0,0,0,1,0,1
TG,1934,0,0,0,0,0,1,0,1
BL,1936,0,0,0,0,0,1,0,1
FR,1936,0,0,0,0,0,1,0,1
GR,1936,0,0,0,0,0,1,0,1
ZH,1936,0,0,0,1,0,0,0,1
AG,1937,0,0,0,1,0,0,0,1
AI,1937,0,0,0,0,0,0,1,1
BE,1937,0,0,0,0,1,0,0,1
BL,1937,0,0,0,0,1,0,0,1
BS,1937,1,0,0,0,0,0,0,1
FR,1937,0,0,0,1,0,0,0,1
GR,1937,0,0,0,0,1,0,0,1
LU,1937,0,0,0,0,0,0,1,1
OW,1937,0,0,0,0,1,0,0,1
SG,1937,0,0,0,0,0,1,1,2
SH,1937,0,0,0,1,0,0,0,1
SO,1937,1,0,0,0,0,0,0,1
TG,1937,0,0,0,0,1,0,0,1
TI,1937,0,0,0,0,0,0,1,1
UR,1937,0,1,0,0,0,0,0,1
ZG,1937,0,0,0,1,0,0,0,1
ZH,1937,1,0,0,0,0,0,0,1
BS,1938,1,0,0,0,0,0,0,1
FR,1938,0,0,0,1,0,0,0,1
SG,1938,1,0,0,0,0,0,0,1
SZ,1938,0,0,0,4,0,0,0,4
TG,1938,1,0,0,0,0,0,0,1
VD,1938,0,0,0,1,0,0,0,1
ZH,1938,0,0,0,1,0,0,0,1
AR,1939,0,0,0,0,1,0,0,1
SO,1939,0,0,0,0,0,0,1,1
SZ,1939,0,0,0,1,0,1,0,2
AI,1940,0,0,0,0,0,0,2,2
AR,1940,0,0,0,0,0,0,2,2
BS,1940,1,0,0,0,0,0,0,1
SG,1940,1,0,0,0,0,0,0,1
SO,1941,0,0,0,0,0,0,1,1
AG,1943,0,0,0,0,1,0,0,1
AI,1943,0,0,0,0,1,0,0,1
AR,1943,0,0,0,0,1,0,0,1
BE,1943,0,0,0,0,1,0,0,1
BL,1943,0,0,0,0,1,0,0,1
FR,1943,0,0,0,0,1,0,0,1
GE,1943,0,0,0,0,1,0,0,1
