# Swiss Law Collection — cantonal acts of type 'Act' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
TI,1914,1,0,0,0,0,0,0,1
BS,1915,0,1,0,0,0,0,0,1
BE,1918,0,1,0,0,0,0,1,2
BS,1918,0,0,0,1,0,0,0,1
LU,1918,0,0,0,0,0,1,0,1
SO,1918,1,0,0,0,0,0,0,1
AG,1919,0,0,1,0,0,0,0,1
GE,1919,1,0,0,0,0,0,0,1
LU,1919,0,0,0,0,0,1,0,1
SG,1919,0,0,0,0,0,1,0,1
ZH,1919,0,0,1,0,0,0,1,2
AR,1920,0,1,0,0,0,0,0,1
VD,1920,0,0,0,1,0,0,0,1
FR,1921,0,0,0,0,1,0,0,1
GL,1922,0,0,0,0,1,0,0,1
SH,1922,0,0,0,0,1,0,0,1
VD,1922,1,0,0,0,0,0,0,1
ZH,1922,0,0,0,0,1,0,0,1
BS,1923,0,0,0,0,1,0,1,2
GE,1923,0,0,0,0,1,0,0,1
GL,1923,0,0,0,0,0,0,1,1
NE,1923,0,0,0,0,1,0,0,1
SG,1923,1,1,0,0,0,0,0,2
VD,1923,0,0,0,1,1,0,0,2
AR,1924,0,0,0,0,1,0,0,1
BS,1924,1,0,0,0,0,0,0,1
FR,1924,1,0,0,0,0,0,0,1
VS,1924,0,0,0,1,1,0,0,2
SO,1925,0,0,0,1,0,0,0,1
ZH,1925,1,0,0,0,0,0,0,1
LU,1926,0,1,0,0,0,0,0,1
NE,1926,1,0,0,0,0,0,0,1
SO,1926,1,0,0,0,0,0,0,1
VD,1926,0,0,0,1,0,0,0,1
VS,1926,0,0,0,0,1,0,0,1
ZH,1926,2,0,0,0,0,0,0,2
BS,1927,1,0,0,0,0,0,0,1
GE,1927,1,0,1,0,0,0,0,2
SG,1927,1,0,0,0,0,0,0,1
SZ,1927,0,0,0,1,0,0,0,1
BS,1928,1,0,0,0,0,0,0,1
TI,1928,1,0,0,1,0,0,0,2
BS,1929,0,0,1,0,0,0,1,2
GE,1929,0,0,0,1,0,1,0,2
SZ,1929,0,0,0,0,0,1,0,1
ZH,1929,0,0,0,1,0,0,0,1
GE,1930,0,1,0,0,0,0,0,1
LU,1930,0,0,0,0,0,0,1,1
AR,1931,0,0,0,0,0,1,0,1
BL,1931,0,1,0,0,0,0,0,1
BS,1931,0,1,0,0,0,0,0,1
TI,1931,0,0,0,0,1,0,0,1
VS,1932,0,0,0,1,0,0,0,1
BS,1933,0,0,0,0,1,0,0,1
FR,1933,1,0,0,0,0,0,0,1
GE,1933,0,0,0,1,0,0,0,1
NE,1933,0,0,0,0,1,0,0,1
VD,1933,1,0,0,0,0,0,0,1
AG,1934,0,0,0,0,0,1,0,1
FR,1934,1,0,0,0,0,0,0,1
GE,1934,1,0,0,0,0,0,0,1
TI,1934,0,1,0,0,0,0,0,1
VD,1934,2,0,0,0,1,0,0,3
TG,1935,0,0,0,0,1,0,0,1
UR,1935,1,0,0,0,0,0,0,1
VD,1935,0,0,0,0,0,0,1,1
BS,1936,0,0,0,0,0,1,1,2
VD,1936,0,0,0,0,0,0,1,1
VS,1936,0,1,0,0,0,0,0,1
BS,1937,0,1,0,0,0,0,0,1
FR,1937,0,0,0,0,0,0,2,2
NE,1937,0,0,0,0,0,0,1,1
SG,1937,0,0,0,0,0,0,1,1
VD,1937,0,0,1,0,0,0,0,1
GE,1938,0,0,0,0,1,0,0,1
TG,1938,0,0,0,0,1,0,0,1
VD,1938,1,0,0,0,0,0,0,1
AG,1939,1,0,0,0,0,0,0,1
AI,1940,0,0,0,0,0,1,0,1
BE,1940,0,1,0,0,0,0,0,1
SG,1940,1,0,0,0,0,0,0,1
VD,1940,1,0,0,0,0,0,1,2
ZG,1940,1,0,0,0,0,0,2,3
BL,1941,0,1,0,0,0,0,0,1
BS,1941,0,2,0,0,0,0,0,2
GE,1941,0,0,0,0,0,0,3,3
SG,1941,1,0,0,0,1,0,0,2
SH,1941,0,1,0,0,0,0,0,1
SO,1941,0,0,0,0,0,0,1,1
TI,1941,0,0,0,0,0,0,1,1
VD,1941,0,0,0,0,0,0,1,1
AG,1942,0,1,0,0,0,0,0,1
BS,1942,0,0,0,0,0,1,0,1
