# Swiss Law Collection — intercantonal agreement memberships, computed: one occurrence per SIGNING canton per agreement (signed by 10 cantons -> 10 occurrences)
# signatories per agreement = cantons publishing the text in their collections + cantons named in any language version's title; no scaling, no external baseline
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
BS,1899,0,0,0,0,0,1,0,1
JU,1899,0,0,0,0,0,1,0,1
SO,1899,0,0,0,0,0,1,0,1
NW,1900,0,0,1,0,0,0,0,1
AG,1901,0,0,0,0,0,0,1,1
AR,1901,0,0,0,0,0,0,1,1
BS,1901,0,0,0,0,0,0,1,1
GE,1901,0,0,0,0,0,0,2,2
GL,1901,0,0,0,0,0,0,1,1
GR,1901,0,0,0,0,0,0,1,1
LU,1901,0,0,0,0,0,0,1,1
NE,1901,0,0,0,0,0,0,1,1
SG,1901,0,0,0,0,0,0,1,1
SH,1901,2,0,0,0,0,0,1,3
SO,1901,0,0,0,0,0,0,1,1
VD,1901,0,0,0,0,0,0,1,1
ZH,1901,2,0,0,0,0,0,1,3
BS,1902,0,0,0,0,0,0,1,1
ZH,1902,1,0,0,0,0,0,0,1
AG,1903,0,0,0,0,0,0,1,1
BE,1903,0,0,0,0,0,0,1,1
BL,1903,0,0,0,0,0,0,1,1
BS,1903,0,0,0,0,0,0,1,1
GE,1903,0,0,0,0,0,0,1,1
GL,1903,0,0,0,0,0,0,1,1
GR,1903,0,0,0,0,0,0,1,1
JU,1903,0,0,0,0,0,0,1,1
LU,1903,0,0,0,0,0,0,1,1
NE,1903,0,0,0,0,0,0,1,1
SG,1903,0,0,0,0,0,0,1,1
SH,1903,0,0,0,0,0,0,1,1
SO,1903,0,0,0,0,0,0,1,1
SZ,1903,0,0,0,0,0,0,1,1
TG,1903,0,0,0,0,0,0,1,1
TI,1903,0,0,0,0,0,0,1,1
VD,1903,0,0,0,0,0,0,2,2
ZG,1903,0,0,0,0,0,0,1,1
ZH,1903,0,0,0,0,0,0,1,1
AG,1905,0,0,0,0,0,0,1,1
LU,1905,0,0,0,0,0,0,1,1
AG,1906,0,0,0,0,0,1,0,1
BE,1906,0,0,0,0,0,1,0,1
BL,1906,1,0,0,0,0,0,0,1
BS,1906,1,0,0,0,0,1,0,2
FR,1906,0,0,0,0,0,1,0,1
GL,1906,0,0,0,0,0,1,0,1
GR,1906,0,0,0,0,0,1,0,1
JU,1906,0,0,0,0,0,1,0,1
SG,1906,0,0,0,0,0,1,0,1
TG,1906,0,0,0,0,0,1,0,1
ZH,1906,0,0,0,0,0,1,0,1
NE,1907,0,0,2,0,0,0,0,2
TG,1907,1,0,0,0,0,0,0,1
VD,1907,0,0,1,0,0,0,0,1
ZH,1907,1,0,0,0,0,0,0,1
BE,1909,1,0,0,0,0,0,0,1
BL,1909,1,0,0,0,0,0,0,1
BS,1909,1,0,0,0,0,0,0,1
FR,1909,1,0,0,0,0,0,0,1
GE,1909,1,0,0,0,0,0,0,1
JU,1909,1,0,0,0,0,0,0,1
NW,1909,1,0,0,0,0,0,0,1
SO,1909,1,0,0,0,0,0,0,1
TG,1909,1,0,0,0,0,0,0,1
TI,1909,1,0,0,0,0,0,0,1
VD,1909,1,0,0,0,0,0,0,1
ZG,1909,1,0,0,0,0,0,0,1
NE,1910,0,0,0,1,0,0,0,1
SO,1910,0,0,0,0,0,1,0,1
VD,1910,0,0,0,0,0,1,0,1
