# Swiss Law Collection — intercantonal agreement memberships by canton, year and topic (full systematics depth)
# counting_unit: signatory_memberships — one occurrence per SIGNING canton per agreement, the same unit as concordats_memberships.csv (a DIFFERENT unit from the site's year chart, which counts published copies)
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1993,"Enseignement, sciences, documentation et culture",1
AG,1993,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AG,1994,Etat.Dispositions générales.Collaboration intercantonale,1
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",2
AG,1995,Etat.Eglise et Etat.Eglise catholique romaine,1
AG,1995,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,1996,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
AG,1997,"Enseignement, sciences, documentation et culture",2
AG,1997,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Contrôle technique des véhicules",2
AG,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des animaux",1
AG,1998,"Enseignement, sciences, documentation et culture",1
AG,1998,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,1998,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AG,1999,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",2
AG,1999,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AG,1999,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AG,1999,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AG,1999,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,2000,"Enseignement, sciences, documentation et culture",1
AG,2000,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
AG,2000,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AG,2000,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2000,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etique",1
AG,2001,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AG,2002,"Enseignement, sciences, documentation et culture",1
AG,2003,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Enfants surdoués",1
AG,2003,"Enseignement, sciences, documentation et culture.Reconnaissance des diplômes",1
AG,2003,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",3
AG,2003,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Substances thérapeutiques, stupéfiants",2
AG,2004,Etat.Dispositions générales.Collaboration intercantonale,1
AG,2004,Droit civil,1
AG,2004,"Enseignement, sciences, documentation et culture",1
AG,2005,"Défense nationale, protection de la population, police",1
AG,2006,Etat,1
AG,2006,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2006,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Chiropraticiens, physiothérapeutes",1
AG,2007,Etat,2
AG,2007,"Enseignement, sciences, documentation et culture.Art, culture, sport.Sport",1
AG,2008,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Chiropraticiens, physiothérapeutes",1
AG,2009,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AG,2010,Etat,1
AG,2010,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
AG,2013,"Enseignement, sciences, documentation et culture",1
AG,2013,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",2
AG,2013,Economie.Arts et métiers.Services.Professions soumises à autorisation,1
AG,2014,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AG,2014,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",1
AG,2014,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Médecins",1
AG,2015,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Contrôle technique des véhicules",1
AG,2015,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2017,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AG,2019,Etat.Autorités.Protection des données,1
AG,2019,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
AG,2019,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AG,2020,Etat,1
AG,2021,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,2023,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,2023,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AG,2025,"Défense nationale, protection de la population, police",1
AI,1632,Etat.Autorités.Protection des données,1
AI,1841,"Enseignement, sciences, documentation et culture",1
AI,1848,Etat.Dispositions générales.Territoire.Frontières,1
AI,1889,"Droit civil.Procédure civile.Emoluments, frais",1
AI,1922,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1936,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
AI,1937,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AI,1940,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AI,1943,Etat.Dispositions générales.Collaboration intercantonale,1
AI,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
AI,1948,Etat.Dispositions générales.Collaboration intercantonale,1
AI,1948,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Interdiction des arrangements fiscaux",1
AI,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Forces hydrauliques",1
AI,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Electricité",1
AI,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Funiculaires, téléphériques, téléskis",1
AI,1958,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AI,1967,Etat.Eglise et Etat.Eglise catholique romaine,1
