# Swiss Law Collection — cantonal acts of type 'Other' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
SH,1927,0,0,0,0,0,0,1,1
BS,1928,0,0,0,0,1,0,0,1
FR,1928,0,0,0,0,0,1,0,1
GL,1928,0,0,0,3,0,0,0,3
FR,1929,0,0,0,0,1,0,0,1
SO,1929,0,0,2,0,0,0,1,3
TI,1929,1,0,0,0,0,0,0,1
VD,1929,0,2,0,0,0,0,0,2
ZG,1929,0,0,0,1,0,0,0,1
ZH,1929,0,0,0,1,0,0,0,1
BS,1930,0,1,0,2,0,0,0,3
FR,1930,0,1,0,0,0,0,0,1
NE,1930,0,0,1,0,0,0,0,1
SH,1930,0,0,0,0,0,0,1,1
SO,1930,1,0,0,0,0,0,1,2
SZ,1930,0,0,0,1,0,0,0,1
VD,1930,0,0,0,0,0,2,0,2
ZH,1930,0,0,0,1,0,0,0,1
BE,1931,1,0,0,0,0,0,0,1
BS,1931,0,0,1,0,0,0,0,1
FR,1931,0,0,0,1,0,0,0,1
LU,1931,0,0,0,1,0,0,0,1
SO,1931,0,0,0,2,0,0,1,3
TG,1931,1,0,0,0,0,0,0,1
UR,1931,0,0,0,1,0,0,0,1
BS,1932,1,0,0,0,0,0,0,1
SO,1932,0,0,0,1,0,0,0,1
VD,1932,0,1,0,0,0,0,0,1
GL,1933,0,0,0,1,0,0,0,1
VS,1933,0,0,0,2,0,0,0,2
ZH,1933,1,0,1,0,0,0,0,2
AG,1934,0,0,0,0,0,0,1,1
FR,1934,1,0,0,0,0,0,0,1
NE,1934,0,0,0,0,0,0,1,1
BS,1935,0,0,0,0,1,0,0,1
FR,1935,0,0,0,0,1,0,0,1
LU,1935,0,0,0,0,1,0,0,1
SO,1935,0,0,0,0,1,0,0,1
UR,1935,0,1,0,0,0,0,0,1
VS,1935,0,1,0,0,0,0,0,1
BE,1936,1,0,0,0,0,0,0,1
SH,1936,0,0,0,0,0,0,1,1
BS,1937,0,0,2,0,0,0,0,2
NE,1937,0,0,0,0,0,0,1,1
SO,1937,1,0,0,0,0,0,0,1
VS,1937,0,0,0,0,1,0,0,1
ZH,1937,0,0,0,0,0,0,1,1
BS,1938,0,0,1,0,0,0,0,1
FR,1938,0,1,0,0,1,0,0,2
LU,1938,0,1,0,0,0,0,0,1
NE,1938,0,1,6,0,0,1,0,8
SO,1938,0,0,0,2,0,0,0,2
SZ,1938,0,0,0,1,0,0,0,1
TG,1938,1,0,0,0,0,0,0,1
VD,1938,0,2,1,0,0,2,0,5
VS,1938,0,0,0,1,0,0,0,1
UR,1939,0,0,0,1,0,0,1,2
VD,1939,0,0,0,0,0,2,0,2
BE,1940,0,1,0,0,0,0,0,1
BS,1941,1,0,0,0,0,0,0,1
GL,1941,0,0,0,1,0,0,0,1
NE,1941,1,0,0,0,0,0,0,1
SO,1941,3,0,0,1,0,0,0,4
VD,1941,0,1,0,0,0,0,0,1
SO,1942,1,0,0,0,0,0,0,1
VD,1942,0,0,0,0,1,0,0,1
BS,1943,0,2,1,0,1,0,0,4
FR,1943,1,0,0,0,0,0,0,1
SO,1943,1,0,0,0,1,0,0,2
ZH,1943,1,0,0,0,0,0,0,1
BE,1944,1,0,0,0,0,0,0,1
SO,1944,0,0,0,0,0,0,1,1
VD,1944,0,0,0,0,1,0,0,1
VS,1944,0,0,0,1,0,0,0,1
GL,1945,0,0,0,0,0,1,0,1
LU,1945,1,0,0,0,0,0,0,1
NE,1945,0,0,0,0,0,0,2,2
FR,1946,0,1,0,0,0,0,0,1
GL,1946,0,0,0,1,0,1,0,2
LU,1946,1,0,0,0,0,0,0,1
NE,1946,0,2,0,0,0,0,0,2
SO,1946,1,0,0,0,0,0,1,2
SZ,1946,0,0,0,1,0,0,0,1
VD,1946,0,0,1,0,0,0,0,1
ZG,1946,1,0,0,0,0,0,0,1
BL,1947,0,0,0,0,1,0,0,1
BS,1947,1,0,0,1,0,0,0,2
GL,1947,0,0,0,1,0,0,0,1
GR,1947,0,0,1,0,0,0,0,1
NE,1947,0,1,0,0,0,0,0,1
SH,1947,0,0,0,1,0,0,0,1
SO,1947,1,0,0,1,0,0,0,2
VD,1947,0,0,0,0,0,1,0,1
ZG,1947,0,0,0,0,0,1,0,1
NE,1948,0,0,0,1,0,0,0,1
SH,1948,0,1,0,0,0,0,0,1
VD,1948,0,1,0,1,0,0,0,2
ZH,1948,0,0,0,1,0,0,0,1
BS,1949,0,0,0,0,0,1,0,1
GL,1949,1,0,0,0,0,0,0,1
NE,1949,0,1,0,0,0,0,0,1
SH,1949,0,0,0,1,0,0,0,1
SO,1949,0,0,0,0,0,1,0,1
VD,1949,0,0,0,0,0,0,1,1
ZG,1949,0,0,0,0,0,1,0,1
BE,1950,0,1,0,0,0,0,0,1
BS,1950,1,0,0,1,0,0,0,2
FR,1950,1,0,0,0,0,0,0,1
VD,1950,0,0,0,0,1,1,0,2
VS,1950,0,0,0,0,1,0,0,1
AR,1951,0,0,0,1,0,0,0,1
BE,1951,0,0,0,0,0,0,1,1
BS,1951,0,0,1,0,0,0,0,1
NE,1951,2,1,1,0,0,0,0,4
NW,1951,0,0,1,0,0,0,0,1
OW,1951,1,0,0,0,0,0,0,1
SO,1951,1,0,0,0,0,0,0,1
SZ,1951,0,0,0,1,0,0,0,1
VD,1951,0,0,0,0,0,0,1,1
ZH,1951,0,0,0,0,0,1,0,1
AR,1952,0,0,0,1,0,0,0,1
BL,1952,1,0,0,0,0,0,0,1
GR,1952,1,0,0,0,0,0,0,1
LU,1952,0,0,0,0,0,0,1,1
SO,1952,0,0,0,0,0,1,0,1
TI,1952,0,0,0,10,0,0,0,10
VD,1952,1,0,0,0,0,0,0,1
FR,1953,1,0,0,0,0,0,0,1
NE,1953,0,0,0,1,0,0,0,1
OW,1953,0,0,0,1,0,0,0,1
SG,1953,0,0,1,0,0,0,0,1
SH,1953,0,0,0,0,1,0,0,1
SO,1953,0,0,0,1,0,0,0,1
ZH,1953,0,0,0,0,0,1,0,1
BL,1954,0,1,0,0,0,0,0,1
FR,1954,1,0,0,0,1,0,0,2
NE,1954,1,0,0,0,1,0,0,2
SH,1954,1,0,0,0,0,0,0,1
SO,1954,0,0,0,0,0,0,1,1
ZG,1954,0,0,0,1,0,0,0,1
AI,1955,0,1,0,0,0,0,0,1
BS,1955,1,1,0,0,0,0,0,2
NE,1955,1,0,0,0,0,0,0,1
SH,1955,0,0,0,0,0,0,1,1
SO,1955,0,0,0,0,0,0,1,1
VD,1955,0,0,0,0,0,0,1,1
BE,1956,1,0,0,0,0,0,0,1
GR,1956,0,0,1,0,0,0,0,1
OW,1956,0,0,0,1,0,0,0,1
SO,1956,0,0,0,1,0,0,0,1
BS,1957,0,0,1,0,0,0,0,1
FR,1957,1,0,0,0,0,0,1,2
GL,1957,0,0,0,2,0,0,0,2
NE,1957,0,0,0,1,0,0,0,1
SG,1957,0,0,1,0,0,0,0,1
SO,1957,1,1,0,0,0,0,1,3
VD,1957,0,0,0,0,0,1,1,2
BS,1958,0,2,1,0,0,0,0,3
NE,1958,1,0,0,1,0,0,0,2
SO,1958,0,0,0,1,0,0,0,1
SZ,1958,0,0,0,2,0,0,0,2
VD,1958,1,0,0,0,0,0,0,1
ZG,1958,0,0,0,0,0,1,0,1
ZH,1958,0,0,0,4,0,0,0,4
GL,1959,1,0,0,1,0,0,0,2
