# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
BE,1959,Etat.Eglise et Etat.Eglise évangélique réformée,1
BE,1959,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
BE,1966,Economie.Agriculture.Epizooties,1
BE,1972,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
BE,1988,"Défense nationale, protection de la population, police",1
BE,1993,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",2
BE,1994,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
BE,1995,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
BE,1995,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux de district / d'arrondissement, juges de paix",8
BE,1995,Etat.Autorités.Organisation judiciaire.Personnel des tribunaux,1
BE,1995,"Droit pénal.Dispositions générales d'introduction du code pénal.Criminalité économique, blanchiment d'argent",1
BE,1995,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Politique familiale, promotion de la famille",1
BE,1996,Etat.Dispositions générales.Information du public,1
BE,1996,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",2
BE,1996,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Juges d'instruction, Ministère public.Juges d'instruction",4
