# Swiss Law Collection — cantonal acts of type 'Intercantonal agreement' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,2002,"Enseignement, sciences, documentation et culture",2
AG,2003,"Enseignement, sciences, documentation et culture",1
AG,2003,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Enfants surdoués",1
AG,2003,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AG,2003,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AG,2003,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Substances thérapeutiques, stupéfiants",1
AG,2004,Etat.Dispositions générales.Collaboration intercantonale,1
AG,2004,"Enseignement, sciences, documentation et culture",1
AG,2004,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2005,Etat.Dispositions générales.Collaboration intercantonale,1
AG,2005,"Défense nationale, protection de la population, police",1
AG,2005,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,2006,Etat,1
AG,2006,Etat.Dispositions générales.Collaboration intercantonale,1
AG,2006,"Enseignement, sciences, documentation et culture",1
AG,2006,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AG,2006,"Défense nationale, protection de la population, police.Douanes.Protection des frontières",1
AG,2006,"Santé, travail, droit des assurances sociales, logement, homes",2
AG,2006,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Chiropraticiens, physiothérapeutes",1
AG,2007,Etat,1
AG,2007,"Enseignement, sciences, documentation et culture.Art, culture, sport.Sport",1
AG,2008,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2008,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Chiropraticiens, physiothérapeutes",1
AG,2009,Etat.Autorités.Protection des données,1
AG,2009,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
