sr_number,title,abbreviation,language,version_date,category,fedlex_uri,source,file_path
0.351.946.3,Gegenrechtserklärung vom 16. April/12. Mai 1937 zwischen der Schweiz und Japan,,de,1937-05-12,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.351.946.3,https://fedlex.data.admin.ch,ch/0/de/0.351.946.3.md
0.351.947.5,Vertrag vom 5. April 2022 zwischen der Schweizerischen Eidgenossenschaft und,,de,2023-08-13,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.351.947.5,https://fedlex.data.admin.ch,ch/0/de/0.351.947.5.md
0.351.956.3,Vertrag vom 11. November 2005 zwischen der Schweizerischen Eidgenossenschaft,,de,2008-09-15,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.351.956.3,https://fedlex.data.admin.ch,ch/0/de/0.351.956.3.md
0.351.962.7,Vertrag vom 3. März 2023 zwischen der Schweizerischen Eidgenossenschaft und,,de,2024-12-31,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.351.962.7,https://fedlex.data.admin.ch,ch/0/de/0.351.962.7.md
0.351.964.1,Vertrag vom 21. April 1997 zwischen der Schweizerischen Eidgenossenschaft und,,de,1998-12-02,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.351.964.1,https://fedlex.data.admin.ch,ch/0/de/0.351.964.1.md
0.351.964.5,Vertrag vom 9. Juli 2002 zwischen der Schweizerischen Eidgenossenschaft und,,de,2005-12-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.351.964.5,https://fedlex.data.admin.ch,ch/0/de/0.351.964.5.md
0.353.1,Europäisches Auslieferungsübereinkommen vom 13. Dezember 1957,,de,2023-06-28,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.1,https://fedlex.data.admin.ch,ch/0/de/0.353.1.md
0.353.11,Zusatzprotokoll vom 15. Oktober 1975 zum Europäischen Auslieferungsübereinkommen,,de,2018-01-26,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.11,https://fedlex.data.admin.ch,ch/0/de/0.353.11.md
0.353.12,Zweites Zusatzprotokoll vom 17. März 1978 zum Europäischen Auslieferungsübereinkommen,,de,2024-09-24,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.12,https://fedlex.data.admin.ch,ch/0/de/0.353.12.md
0.353.13,Drittes Zusatzprotokoll vom 10. November 2010 zum Europäischen Auslieferungsübereinkommen,,de,2023-06-29,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.13,https://fedlex.data.admin.ch,ch/0/de/0.353.13.md
0.353.14,Viertes Zusatzprotokoll vom 20. September 2012 zum Europäischen Auslieferungsübereinkommen,,de,2024-09-24,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.14,https://fedlex.data.admin.ch,ch/0/de/0.353.14.md
0.353.21,Internationales Übereinkommen vom 15. Dezember 1997 zur Bekämpfung terroristischer,,de,2020-02-26,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.21,https://fedlex.data.admin.ch,ch/0/de/0.353.21.md
0.353.22,Internationales Übereinkommen vom 9. Dezember 1999 zur Bekämpfung der Finanzierung,,de,2024-06-07,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.22,https://fedlex.data.admin.ch,ch/0/de/0.353.22.md
0.353.23,Internationales Übereinkommen vom 13. April 2005 zur Bekämpfung nuklearterroristischer,,de,2024-02-29,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.23,https://fedlex.data.admin.ch,ch/0/de/0.353.23.md
0.353.3,Europäisches Übereinkommen vom 27. Januar 1977 zur Bekämpfung des Terrorismus,,de,2025-08-26,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.3,https://fedlex.data.admin.ch,ch/0/de/0.353.3.md
0.353.31,Protokoll vom 15. Mai 2003 zur Änderung des Europäischen Übereinkommens zur,,de,2003-05-15,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.31,https://fedlex.data.admin.ch,ch/0/de/0.353.31.md
0.353.911.8,Notenaustausch vom 23. Oktober 1978/7. März 1979 zwischen der Schweiz und Südafrika,,de,1979-03-07,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.911.8,https://fedlex.data.admin.ch,ch/0/de/0.353.911.8.md
0.353.913.6,Auslieferungsvertrag zwischen der Schweiz und dem Deutschen Reich (mit Prot.) ,,de,1967-03-20,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.913.6,https://fedlex.data.admin.ch,ch/0/de/0.353.913.6.md
0.353.913.61,Vertrag vom 13. November 1969 zwischen der Schweizerischen Eidgenossenschaft,,de,2002-03-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.913.61,https://fedlex.data.admin.ch,ch/0/de/0.353.913.61.md
0.353.914.0,Notenaustausch vom 29. März 1993/5. Dezember 1994 zwischen der Schweiz und,,de,1994-12-05,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.914.0,https://fedlex.data.admin.ch,ch/0/de/0.353.914.0.md
0.353.915.4,Auslieferungsvertrag vom 21. November 1906 zwischen der Schweiz und der Argentinischen,,de,2013-02-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.915.4,https://fedlex.data.admin.ch,ch/0/de/0.353.915.4.md
0.353.915.8,Auslieferungsvertrag vom 29. Juli 1988 zwischen der Schweiz und Australien,,de,1991-01-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.915.8,https://fedlex.data.admin.ch,ch/0/de/0.353.915.8.md
0.353.916.31,Vertrag vom 13. Juni 1972 zwischen der Schweizerischen Eidgenossenschaft und,,de,1974-12-14,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.916.31,https://fedlex.data.admin.ch,ch/0/de/0.353.916.31.md
0.353.916.32,Notenaustausch vom 6. März 1926 zwischen der Schweiz und Österreich betreffend,,de,1926-02-19,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.916.32,https://fedlex.data.admin.ch,ch/0/de/0.353.916.32.md
0.353.916.5,Notenaustausch vom 9./14. September 1992 über die Anwendung des schweizerisch-britischen,,de,1992-09-14,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.916.5,https://fedlex.data.admin.ch,ch/0/de/0.353.916.5.md
0.353.917.2,Vertrag vom 13. Mai 1874 zwischen der Schweiz und Belgien über die gegenseitige,,de,1984-11-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.917.2,https://fedlex.data.admin.ch,ch/0/de/0.353.917.2.md
0.353.917.21,Notenaustausch vom 13./14. Mai 1938 über die Ausdehnung des schweizerisch-belgischen,,de,1938-08-13,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.917.21,https://fedlex.data.admin.ch,ch/0/de/0.353.917.21.md
0.353.919.8,Auslieferungsvertrag vom 23. Juli 1932 zwischen der Schweiz und Brasilien,,de,2009-07-27,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.919.8,https://fedlex.data.admin.ch,ch/0/de/0.353.919.8.md
0.353.923.2,Auslieferungsvertrag vom 7. Oktober 1993 zwischen der Schweiz und Kanada,,de,1996-03-19,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.923.2,https://fedlex.data.admin.ch,ch/0/de/0.353.923.2.md
0.353.928.9,Notenaustausch vom 24. Mai/6. Juni 1988 betreffend die Anwendung zwischen der,,de,1960-08-07,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.928.9,https://fedlex.data.admin.ch,ch/0/de/0.353.928.9.md
0.353.932.3,Übereinkunft vom 30. Oktober 1883 zwischen der Schweiz und Salvador betreffend,,de,1885-07-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.932.3,https://fedlex.data.admin.ch,ch/0/de/0.353.932.3.md
0.353.932.7,Provisorisches Übereinkommen vom 22. Juni 1888 zwischen der Schweiz und der,,de,1889-10-21,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.932.7,https://fedlex.data.admin.ch,ch/0/de/0.353.932.7.md
0.353.933.2,Auslieferungsvertrag zwischen der Schweiz und Spanien ,,de,1982-11-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.933.2,https://fedlex.data.admin.ch,ch/0/de/0.353.933.2.md
0.353.933.6,Auslieferungsvertrag vom 14. November 1990 zwischen der Schweizerischen Eidgenossenschaft,,de,1997-09-10,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.933.6,https://fedlex.data.admin.ch,ch/0/de/0.353.933.6.md
0.353.934.3,Briefwechsel vom 14. Juli 1972/31. Januar 1974 über die Anwendung des schweizerisch-britischen,,de,1970-10-10,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.934.3,https://fedlex.data.admin.ch,ch/0/de/0.353.934.3.md
0.353.934.9,Vertrag vom 9. Juli 1869 zwischen der Schweiz und Frankreich über die gegenseitige,,de,1989-08-10,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.934.9,https://fedlex.data.admin.ch,ch/0/de/0.353.934.9.md
0.353.934.92,Abkommen vom 10. Februar 2003 zwischen dem Schweizerischen Bundesrat und der,,de,2006-01-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.934.92,https://fedlex.data.admin.ch,ch/0/de/0.353.934.92.md
0.353.934.93,Briefwechsel vom 24. Februar/11. März 1993 zwischen der Schweiz und Frankreich,,de,1993-06-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.934.93,https://fedlex.data.admin.ch,ch/0/de/0.353.934.93.md
0.353.936.7,Auslieferungsvertrag vom 26. November 1880 zwischen der Schweiz und Grossbritannien,,de,2003-05-13,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.7,https://fedlex.data.admin.ch,ch/0/de/0.353.936.7.md
0.353.936.71,Zusatzabkommen vom 19. Dezember 1934 zum Auslieferungsvertrag zwischen der,,de,2003-05-13,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.71,https://fedlex.data.admin.ch,ch/0/de/0.353.936.71.md
0.353.936.72,Notenaustausch vom 17./23. August 1909 über die Ausdehnung des schweizerisch-britischen,,de,1909-08-23,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.72,https://fedlex.data.admin.ch,ch/0/de/0.353.936.72.md
0.353.936.74,Notenaustausch vom 30. November 1927/19. September 1929 über die Ausdehnung,,de,1929-09-19,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.74,https://fedlex.data.admin.ch,ch/0/de/0.353.936.74.md
0.353.936.75,Notenaustausch vom 28. Januar/9. Mai 1932 über die Ausdehnung des schweizerisch-britischen,,de,1932-05-09,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.75,https://fedlex.data.admin.ch,ch/0/de/0.353.936.75.md
0.353.936.76,Notenaustausch vom 3. August 1934/4. Januar 1935 über die Ausdehnung des schweizerisch-britischen,,de,1935-01-04,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.76,https://fedlex.data.admin.ch,ch/0/de/0.353.936.76.md
0.353.936.77,Notenaustausch vom 15. Februar/16. März 1937 über die Ausdehnung des schweizerisch-britischen,,de,1937-03-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.77,https://fedlex.data.admin.ch,ch/0/de/0.353.936.77.md
0.353.936.78,Briefwechsel vom 9./26. Januar 1996 zwischen der Schweiz und dem Vereinigten,,de,1997-01-15,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.936.78,https://fedlex.data.admin.ch,ch/0/de/0.353.936.78.md
