DATAFLOW,CANTON,DOMAIN,TIME_PERIOD,OBS_VALUE
SLC:DF_CONCORDATS(1.0),GR,autres,1901,1
SLC:DF_CONCORDATS(1.0),SH,etat,1901,2
SLC:DF_CONCORDATS(1.0),SO,autres,1901,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1901,2
SLC:DF_CONCORDATS(1.0),BS,autres,1902,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1902,1
SLC:DF_CONCORDATS(1.0),BL,autres,1903,1
SLC:DF_CONCORDATS(1.0),VD,autres,1903,1
SLC:DF_CONCORDATS(1.0),LU,autres,1905,1
SLC:DF_CONCORDATS(1.0),BL,etat,1906,1
SLC:DF_CONCORDATS(1.0),BS,etat,1906,1
SLC:DF_CONCORDATS(1.0),GR,fin,1906,1
SLC:DF_CONCORDATS(1.0),TG,fin,1906,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1906,1
SLC:DF_CONCORDATS(1.0),NE,educ,1907,2
SLC:DF_CONCORDATS(1.0),TG,etat,1907,1
SLC:DF_CONCORDATS(1.0),VD,educ,1907,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1907,1
SLC:DF_CONCORDATS(1.0),BL,etat,1909,1
SLC:DF_CONCORDATS(1.0),BS,etat,1909,1
SLC:DF_CONCORDATS(1.0),FR,etat,1909,1
SLC:DF_CONCORDATS(1.0),GE,etat,1909,1
SLC:DF_CONCORDATS(1.0),JU,etat,1909,1
SLC:DF_CONCORDATS(1.0),NW,etat,1909,1
SLC:DF_CONCORDATS(1.0),SO,etat,1909,1
SLC:DF_CONCORDATS(1.0),TG,etat,1909,1
SLC:DF_CONCORDATS(1.0),TI,etat,1909,1
SLC:DF_CONCORDATS(1.0),VD,etat,1909,1
SLC:DF_CONCORDATS(1.0),ZG,etat,1909,1
SLC:DF_CONCORDATS(1.0),NE,infra,1910,1
SLC:DF_CONCORDATS(1.0),SO,fin,1910,1
SLC:DF_CONCORDATS(1.0),VD,fin,1910,1
SLC:DF_CONCORDATS(1.0),VD,infra,1911,1
SLC:DF_CONCORDATS(1.0),BL,fin,1912,1
SLC:DF_CONCORDATS(1.0),BS,fin,1912,1
SLC:DF_CONCORDATS(1.0),NE,fin,1912,2
SLC:DF_CONCORDATS(1.0),SO,infra,1912,2
SLC:DF_CONCORDATS(1.0),AG,infra,1914,2
SLC:DF_CONCORDATS(1.0),AR,infra,1914,1
SLC:DF_CONCORDATS(1.0),GL,infra,1914,1
SLC:DF_CONCORDATS(1.0),SG,infra,1914,2
SLC:DF_CONCORDATS(1.0),SH,infra,1914,2
SLC:DF_CONCORDATS(1.0),SO,infra,1914,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1914,1
SLC:DF_CONCORDATS(1.0),TG,infra,1914,1
SLC:DF_CONCORDATS(1.0),ZG,infra,1914,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1914,2
SLC:DF_CONCORDATS(1.0),GL,infra,1915,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1916,1
SLC:DF_CONCORDATS(1.0),ZG,infra,1916,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1916,1
SLC:DF_CONCORDATS(1.0),SH,etat,1918,3
SLC:DF_CONCORDATS(1.0),TG,etat,1918,2
SLC:DF_CONCORDATS(1.0),BL,infra,1919,1
SLC:DF_CONCORDATS(1.0),BS,infra,1919,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1919,1
SLC:DF_CONCORDATS(1.0),ZG,infra,1919,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1919,2
SLC:DF_CONCORDATS(1.0),AG,fin,1922,1
SLC:DF_CONCORDATS(1.0),BL,fin,1922,1
SLC:DF_CONCORDATS(1.0),FR,fin,1922,1
SLC:DF_CONCORDATS(1.0),LU,infra,1922,1
